gene_id	log2FoldChange	pvalue
G826	0.490067875	0.00552836
G827	-0.706591735	0.005530965
G828	4.462770046	0.005538237
G829	-1.26593147	0.005550268
G830	0.47754409	0.005550823
G831	0.604246429	0.005600242
G832	1.614325705	0.005616488
G833	0.580667106	0.005629948
G834	-0.900418627	0.005634232
G835	-0.684317808	0.005643615
G836	-0.498200868	0.005650016
G837	0.64518685	0.005664875
G838	-0.64779182	0.005696402
G839	5.871268142	0.005700662
G840	-1.528578651	0.005701256
G841	0.599155755	0.005701682
G842	-0.870738621	0.005730326
G843	-5.059445957	0.005747259
G844	0.506763638	0.005748182
G845	0.551640058	0.00583345
G846	0.676118939	0.005849159
G847	0.623607552	0.005852198
G848	0.753919762	0.005854249
G849	-0.50413636	0.005855068
G850	-3.362961695	0.005862557
G851	0.973495775	0.00588809
G852	0.57128715	0.005890031
G853	0.64332498	0.005903177
G854	-0.664165457	0.005912136
G855	-0.54197238	0.005925389
G856	-5.152691719	0.005940966
G857	1.127964456	0.005951385
G858	-0.572385918	0.005956271
G859	-1.798936485	0.005962513
G860	0.463539223	0.005966115
G861	-0.619910664	0.005983875
G862	-0.530570026	0.005992036
G863	-0.742179721	0.006015249
G864	1.578424604	0.006020597
G865	0.479297779	0.006026123
G866	0.491658269	0.006033165
G867	0.509831101	0.006056069
G868	-4.757146016	0.006060744
G869	-0.582552679	0.006080895
G870	-5.594491596	0.006094786
G871	-0.855860112	0.006110173
G872	-0.602453546	0.006131691
G873	-0.845116536	0.006147184
G874	-0.942718622	0.00614986
G875	1.088303653	0.006158623
G876	-0.712177811	0.006194188
G877	0.622031978	0.006204478
G878	0.558248982	0.00621001
G879	-0.556098571	0.006214945
G880	-0.437422718	0.006224503
G881	-3.353995803	0.006233246
G882	-2.329916044	0.00624357
G883	0.552586661	0.00627194
G884	-0.69093818	0.006281201
G885	0.621663646	0.006299898
G886	-2.225992739	0.006321695
G887	0.58659623	0.006342644
G888	-0.786490132	0.006383454
G889	-5.16221596	0.006404142
G890	-3.124880911	0.006409942
G891	-1.398401837	0.006415295
G892	0.864775029	0.006423796
G893	0.677664754	0.006444513
